"","LineCode","PCECategory","CommodityCode","CommodityDescription","ProducersValue","Transportation Costs","Wholesale","Retail","PurchasersValue","Year","ProducersValuebyLineCodeSum","Mapping_ratio"
"1","10","Household appliances","326","Plastics and rubber products",39,"1","17","63","120","2017",31026,0.00125701024946819
"2","10","Household appliances","331","Primary metals",53,"2","5","30","90","2017",31026,0.00170824469799523
"3","10","Household appliances","333","Machinery",4111,"120","1828","2331","8391","2017",31026,0.132501772706762
"4","10","Household appliances","335","Electrical equipment, appliances, and components",26904,"1153","9319","14288","51664","2017",31026,0.867143685940824
"5","10","Household appliances","Used","Scrap, used and secondhand goods",-81,"34","29","35","18","2017",31026,-0.00261071359504931
"6","101","Higher education","61","Educational services",180589,"0","0","0","180589","2017",180589,1
"7","102","Nursery, elementary, and secondary schools","61","Educational services",33551,"0","0","0","33551","2017",45787,0.732762574529888
"8","102","Nursery, elementary, and secondary schools","624","Social assistance",12236,"0","0","0","12236","2017",45787,0.267237425470112
"9","103","Commercial and vocational schools","61","Educational services",51065,"0","0","0","51065","2017",51065,1
"10","104","Professional and other services","323","Printing and related support activities",6,"0","1","0","7","2017",192953,3.10956554186771e-05
"11","104","Professional and other services","327","Nonmetallic mineral products",3169,"428","522","982","5100","2017",192953,0.0164236886702979
"12","104","Professional and other services","332","Fabricated metal products",18,"1","5","6","29","2017",192953,9.32869662560313e-05
"13","104","Professional and other services","481","Air transportation",46,"0","0","0","46","2017",192953,0.000238400024876524
"14","104","Professional and other services","4A0","Other retail",5974,"0","0","0","5974","2017",192953,0.0309609075785295
"15","104","Professional and other services","5411","Legal services",103997,"0","0","0","103997","2017",192953,0.538975812762693
"16","104","Professional and other services","5412OP","Miscellaneous professional, scientific, and technical services",26225,"0","0","0","26225","2017",192953,0.135913927225801
"17","104","Professional and other services","561","Administrative and support services",7736,"0","0","0","7736","2017",192953,0.0400926650531477
"18","104","Professional and other services","81","Other services, except government",45782,"0","0","0","45782","2017",192953,0.237270216062979
"19","105","Personal care and clothing services","532RL","Rental and leasing services and lessors of intangible assets",1187,"0","0","0","1187","2017",152480,0.00778462749213011
"20","105","Personal care and clothing services","61","Educational services",20,"0","0","0","20","2017",152480,0.000131164742917104
"21","105","Personal care and clothing services","721","Accommodation",3020,"0","0","0","3020","2017",152480,0.0198058761804827
"22","105","Personal care and clothing services","81","Other services, except government",148253,"0","0","0","148253","2017",152480,0.97227833158447
"23","106","Social services and religious activities","623","Nursing and residential care facilities",45541,"0","0","0","45541","2017",199709,0.228036793534593
"24","106","Social services and religious activities","624","Social assistance",128493,"0","0","0","128493","2017",199709,0.643401148671317
"25","106","Social services and religious activities","81","Other services, except government",25675,"0","0","0","25675","2017",199709,0.12856205779409
"26","107","Household maintenance","481","Air transportation",22,"0","0","0","22","2017",78792,0.000279216164077571
"27","107","Household maintenance","483","Water transportation",1,"0","0","0","1","2017",78792,1.26916438217078e-05
"28","107","Household maintenance","484","Truck transportation",11700,"0","0","0","11700","2017",78792,0.148492232713981
"29","107","Household maintenance","493","Warehousing and storage",251,"0","0","0","251","2017",78792,0.00318560259924865
"30","107","Household maintenance","532RL","Rental and leasing services and lessors of intangible assets",3673,"0","0","0","3673","2017",78792,0.0466164077571327
"31","107","Household maintenance","561","Administrative and support services",32494,"0","0","0","32494","2017",78792,0.412402274342573
"32","107","Household maintenance","81","Other services, except government",24790,"0","0","0","24790","2017",78792,0.314625850340136
"33","107","Household maintenance","ORE","Other real estate",5861,"0","0","0","5861","2017",78792,0.0743857244390293
"34","109","Foreign travel by U.S. residents","481","Air transportation",33697,"0","0","0","33697","2017",155948,0.216078436401878
"35","109","Foreign travel by U.S. residents","483","Water transportation",20599,"0","0","0","20599","2017",155948,0.132088901428681
"36","109","Foreign travel by U.S. residents","Other","Noncomparable imports and rest-of-the-world adjustment",101652,"0","0","0","101652","2017",155948,0.651832662169441
"37","11","Glassware, tableware and household utensils","321","Wood products",791,"49","137","90","1067","2017",25044,0.0315844114358729
"38","11","Glassware, tableware and household utensils","326","Plastics and rubber products",14100,"287","2570","1606","18563","2017",25044,0.563009103977
"39","11","Glassware, tableware and household utensils","327","Nonmetallic mineral products",6711,"935","2084","2853","12583","2017",25044,0.26796837565884
"40","11","Glassware, tableware and household utensils","331","Primary metals",552,"16","55","63","686","2017",25044,0.0220412074748443
"41","11","Glassware, tableware and household utensils","332","Fabricated metal products",3363,"97","955","452","4867","2017",25044,0.134283660757068
